file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getRotationValuesHolder/0,frame8,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getRotationValuesHolder/0,frame5,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getRotationValuesHolder/0,frame6,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getRotationValuesHolder/0,frame9,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame0,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame10,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame3,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame4,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame1,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame2,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame7,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame8,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame5,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame6,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleXValuesHolder/0,frame9,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleYValuesHolder/0,frame0,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleYValuesHolder/0,frame10,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleYValuesHolder/0,frame3,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleYValuesHolder/0,frame4,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\ObjectAnimatorValueHolderFragment.java,com.chiclaim.customview.animation.basic.ObjectAnimatorValueHolderFragment,getScaleYValuesHolder/0,frame1,1
